,year,quarter,month,cpi_to_2010,monthly_inflation,ip_to_2014,ip,credit_spread,vix,neer,mortgage_spread,pure_monetary_shock_ofz2,capured_monetary_shock_ofz2,news_component_ofz2,pure_monetary_shock_ofz4,capured_monetary_shock_ofz4,news_component_ofz4,pure_monetary_shock_ofz6,capured_monetary_shock_ofz6,news_component_ofz6,pure_monetary_shock_ofz10,capured_monetary_shock_ofz10,news_component_ofz10,pure_monetary_shock_ofz15,capured_monetary_shock_ofz15,news_component_ofz15,pure_monetary_shock_one_component,capured_monetary_shock_one_component,news_component_one_component,pure_monetary_shock_uip_based_usd,capured_monetary_shock_uip_based_usd,news_component_uip_based_usd,pure_monetary_shock_uip_based_eur,capured_monetary_shock_uip_based_eur,news_component_uip_based_eur,key_rate
45,2017,3,7,163.57628007785888,0.09999999999999432,90.74413130992747,99.6,28.545238095238098,10.2645,57.97,3.16,0.0004711507246977,0.0007964954201513,0.0003253446954535,0.0004155727364581,0.0007904357276948,0.0003748629912366,-0.0002187268497369,0.0007858546168958,0.0010045814666327,-0.0004200339312894,0.0007289388732687,0.0011489728045581,0.002116613979173,0.0001713649216005,-0.0019452490575725,-0.1916422803492031,-0.4068079414091252,-0.2151656610599221,-0.0285181711318557,-0.0902219695975984,-0.0617037984657427,0.0246604959132991,-0.0022461444947565,-0.0269066404080556,7.75
46,2017,3,8,162.7583986774696,-0.5,93.37571111791536,102.9,30.111304347826085,11.975652173913044,57.2,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75
47,2017,3,9,162.59564027879213,-0.09999999999999432,93.56246254015119,100.2,71.36714285714285,10.437999999999999,58.56,3.02,0.0006849012556448,0.0,-0.0006849012556448,0.0017810097413437,-0.0005901445854234,-0.0023711543267671,0.0014452880467937,-0.0009837678307919,-0.0024290558775856,0.0044269663096092,0.0001011633788568,-0.0043258029307524,0.0025136139365758,0.0,-0.0025136139365758,-0.4004300674196001,-0.2627648257435971,0.137665241676003,0.0622398927433937,-0.0060186216046162,-0.0682585143480099,0.0233218395301517,-0.0150666839616348,-0.0383885234917866,8.25
48,2017,4,10,162.92083155934972,0.20000000000000284,97.30496104175724,104.0,75.21863636363636,10.125454545454545,59.21,2.59,0.0009384783971935,0.0,-0.0009384783971935,0.0090533750762841,0.0048423757288269,-0.0042109993474572,0.004293874740505,-0.000592534070709,-0.004886408811214,0.0027229451030373,-0.0008073468563931,-0.0035302919594304,0.0014318231523926,-0.0015880429705744,-0.003019866122967,-0.5779462436117977,-0.3269383119131662,0.2510079316986315,0.0342523304817797,-0.0160104179576991,-0.0502627484394788,-0.0215616969109165,-0.0320302612649114,-0.0104685643539949,8.5
49,2017,4,11,163.24667322246844,0.20000000000000284,97.69418088592427,100.4,75.3504761904762,10.54047619047619,58.04,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
50,2017,4,12,163.8996599153583,0.4000000000000057,103.26274919642195,105.7,77.47380952380952,10.2645,58.03,2.53,0.0048771184627345,0.0053556992724333,0.0004785808096987,-0.0001399465389619,0.0002054442732408,0.0003453908122027,-0.0007477405024491,0.0,0.0007477405024491,0.0070140150953967,0.0016846695074819,-0.0053293455879148,0.0047173102445814,0.0010331548793087,-0.0036841553652727,-0.5847270076661067,-0.7477815374523298,-0.163054529786223,-0.3688858204684735,-0.4352349887474027,-0.0663491682789292,0.0356431212204824,-0.0013493613870949,-0.0369924826075773,9.0
51,2018,1,1,164.3913588951044,0.29999999999999716,89.73532905169068,86.9,61.336,11.062380952380952,58.51,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
52,2018,1,2,164.7201416128946,0.20000000000000284,85.96644523151967,95.8,49.736315789473686,22.464736842105264,57.73,3.05,0.0012615389654008,0.0007035175879396,-0.0005580213774612,-0.0011304686204314,-0.0035590807402887,-0.0024286121198572,-0.0012186954811172,-0.0033800576598071,-0.0021613621786898,0.0017343746764994,-0.0042385411532774,-0.0059729158297768,-0.0019063960185722,-0.0055720653789004,-0.0036656693603281,0.0663596814454815,0.2169862113787302,0.1506265299332486,0.0908342003054844,0.0180220068765797,-0.0728121934289046,0.091621041134107,0.0392394741478929,-0.052381566986214,9.0
53,2018,1,3,165.2143020377333,0.29999999999999716,95.76661998791293,111.4,36.9095,19.023809523809526,57.51,3.08,0.0007676568386323,0.0003012955709551,-0.0004663612676772,0.0017474633811416,-0.0007995202878273,-0.0025469836689689,0.0037243402842012,0.0010070493454179,-0.0027172909387833,0.0053576065878489,-0.0002956830277942,-0.0056532896156431,0.0145594643196013,0.0104825591903126,-0.0040769051292887,-0.6857263438735577,-0.5663627640272961,0.1193635798462615,0.2918094064562221,0.2393106334762129,-0.0524987729800092,0.0129603468727066,-0.0015716638893665,-0.0145320107620732,9.25
54,2018,2,4,165.87515924588425,0.4000000000000057,91.36135546846894,95.4,3.729545454545455,18.267619047619046,54.1,2.67,-0.0009881911843698,-0.0002016129032258,0.000786578281144,-0.0015832891369463,0.0001005429318318,0.0016838320687781,-0.0029987823339786,-0.0006086427267194,0.0023901396072592,0.0047743194513902,0.001,-0.0037743194513902,0.005139656400875,0.0003642987249544,-0.0047753576759206,0.1426017217925259,-0.2682450690743513,-0.4108467908668773,0.0949477610852662,0.026072571773016,-0.0688751893122501,0.0445122591914425,0.0004254474275889,-0.0440868117638536,9.75
55,2018,2,5,166.5386598828678,0.4000000000000057,92.82313715596443,101.6,-2.041428571428572,14.124545454545455,54.44,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75
56,2018,2,6,167.37135318228215,0.5,93.00878343027637,100.2,-1.6238095238095238,13.678095238095239,54.8,2.2,0.0023942780017033,0.0002011870033195,-0.0021930909983838,0.0101982430362184,0.0017201254679753,-0.0084781175682431,0.0121588845412274,0.0022760190357955,-0.0098828655054319,0.0030160775859663,-0.0008342022940563,-0.0038502798800226,0.0082188509728032,0.0031278748850045,-0.0050909760877987,-1.3156348763536605,-0.4273680733684827,0.8882668029851776,0.1344904184020302,0.0702590596626155,-0.0642313587394146,0.034473333130872,0.0006129628740474,-0.0338603702568246,10.0
57,2018,3,7,167.873467241829,0.29999999999999716,93.93887126457913,101.0,18.367727272727272,13.147619047619049,55.41,2.02,0.0037954538739833,0.0001012248203259,-0.0036942290536574,0.0127488676271791,-0.0002041232904674,-0.0129529909176465,0.0159752588449225,0.0001049428061706,-0.0158703160387519,0.0030313595256952,-0.002452287024203,-0.0054836465498982,-0.0006401848846329,-0.0055508514441621,-0.0049106665595291,-1.2127490378883332,-0.0126628621951254,1.2000861756932075,0.0347714729759849,-0.0056187488107171,-0.0403902217867021,-0.0095792078350378,-0.0024405292262926,0.0071386786087452,10.0
58,2018,3,8,167.873467241829,0.0,95.91158756113529,102.1,8.110869565217392,12.54695652173913,53.28,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
59,2018,3,9,168.20921417631268,0.20000000000000284,95.71976438601301,99.8,50.927,12.910526315789474,52.22,0.83,0.0012386939504782,0.0,-0.0012386939504782,0.0055792815891602,0.0,-0.0055792815891602,0.004377442394685,-0.0022217733791153,-0.0065992157738003,0.0010226114429265,-0.0042705333200913,-0.0052931447630178,-5.2820410983535696e-05,-0.0050266114725014,-0.0049737910615178,-0.2275132359511756,0.0996097598165887,0.3271229957677644,0.8690847338415719,0.7629613743639374,-0.1061233594776345,0.1085191023772005,-0.0009835909477442,-0.1095026933249448,10.0
60,2018,4,10,168.88205103301797,0.4000000000000057,102.42014789303391,107.0,62.48913043478261,19.35217391304348,54.11,0.91,0.0014819602272462,-0.0005966587112171,-0.0020786189384633,0.0042140821415839,-0.0034749801429706,-0.0076890622845545,0.0084634770906116,0.0,-0.0084634770906116,0.0023535256553255,-0.0012650836901518,-0.0036186093454773,0.0035813875099169,-0.0012476007677543,-0.0048289882776712,-0.7198596511978944,-0.0313088823587204,0.688550768839174,0.1036105172764361,-0.0180738730569697,-0.1216843903334058,0.1415208624410245,0.0042564801332783,-0.1372643823077461,10.0
61,2018,4,11,169.72646128818306,0.5,102.01046730146177,99.6,68.34714285714286,19.38904761904762,53.76,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
