,year,quarter,month,cpi,ip,credit_spread,vix,neer,mortgage_spread,monetary_shock,monetary_shock_2
69,2019,3,7,175.4024663740746,66.89744797986319,88.74173913043478,13.305909090909092,56.75,2.55,0.0014101601451714,0.0
70,2019,3,8,175.05166144132647,65.35880667632634,84.28045454545455,18.97909090909091,55.26,2.41,0.0,0.0
71,2019,3,9,174.7015581184438,63.790195316094504,80.1852380952381,15.559000000000001,56.43,2.09,-0.0016619952597181,0.0
72,2019,4,10,174.87625967656226,65.25736980836467,86.47304347826086,15.466521739130435,56.73,1.99,-0.0011843612179299,0.0
73,2019,4,11,175.4008884555919,66.62777457434032,97.8595,12.5235,56.93,1.56,0.0,0.0
74,2019,4,12,176.10249200941428,67.76044674210411,90.66047619047619,13.756666666666666,57.61,1.36,0.0098976138796917,0.0
75,2020,1,1,176.80690197745196,60.577839387441074,82.3605,13.94095238095238,58.3,1.3,0.0,0.0
76,2020,1,2,177.3373226833843,56.21623495154531,80.3821052631579,19.628947368421052,57.16,1.14,0.000178656187799,0.0
77,2020,1,3,178.40134661948457,59.814073988444214,87.73285714285714,57.73681818181819,49.35,0.98,0.0070826612625176,0.0
78,2020,2,4,179.82855739244044,67.2310191630113,107.49818181818182,41.453809523809525,49.77,0.89,0.0017035531011103,0.0
79,2020,2,5,180.36804306461778,55.80174590529938,116.97368421052632,30.897000000000002,51.27,0.69,0.0,0.0
80,2020,2,6,180.72877915074704,56.08075463482587,112.59400000000001,31.119545454545456,52.78,-0.26,0.0012954466666672,0.0
81,2020,3,7,181.45169426735004,60.28681123243781,110.6940909090909,26.840454545454545,50.53,-0.19,-0.0023003282403711,0.0
82,2020,3,8,181.45169426735004,54.74042459905353,107.02238095238094,22.88952380952381,48.04,-0.32,0.0,0.0
83,2020,3,9,181.2702425730827,51.51073954770937,111.91545454545454,27.64761904761905,46.67,-0.44,-0.0018096384514939,0.0
84,2020,4,10,181.99532354337506,53.3651261714269,127.58363636363637,29.438636363636363,45.62,-0.42,0.0007206533435716,0.0
85,2020,4,11,183.2692908081787,55.07281020891256,125.89500000000001,24.9955,45.59,-0.45,0.0,0.0
86,2020,4,12,184.73544513464415,57.00035856622449,116.86227272727272,22.37409090909091,46.36,-0.35,-0.0021791591299629,0.0
87,2021,1,1,186.02859325058668,50.61631840680735,103.79842105263158,24.91,46.03,-0.36,0.0,0.0
88,2021,1,2,187.51682199659135,52.18542427741838,94.538,23.140526315789476,46.14,,-0.0009552020982044,0.0
89,2021,1,3,188.8294397505675,53.750987005740924,68.31954545454545,21.84304347826087,46.83,,-0.0063010476683355,0.0
90,2021,2,4,189.96241638907088,61.00737025151595,78.63181818181819,17.416190476190476,45.77,,-0.0011700479502683,0.0
91,2021,2,5,191.29215330379438,47.707763536685476,75.034,19.7605,46.53,,0.0,0.0
92,2021,2,6,192.63119837692093,47.2783936648553,66.18863636363636,16.956818181818182,47.63,,0.0010058318279501,0.0
93,2021,3,7,193.20909197205168,53.61369841594591,68.5968181818182,17.603333333333335,47.44,,0.0036647102371271,0.0
94,2021,3,8,193.5955101559958,51.36192308247618,72.0959090909091,17.472727272727273,47.75,,0.0,0.0
95,2021,3,9,194.7570832169318,50.43740846699161,72.67909090909092,19.824761904761903,48.21,,0.001116433313789,0.0
96,2021,4,10,196.89941113231802,51.446156636331445,73.16190476190476,17.871428571428574,49.75,,-0.0011217822069259,0.0
97,2021,4,11,198.8684052436412,51.54904894960411,64.63142857142857,18.50047619047619,49.32,,0.0,0.0
98,2021,4,12,200.45935248559033,52.21918658594896,91.07318181818181,21.354545454545455,49.19,,0.0023530820650217,0.0
